user_id,nearest_user_id,distance
2,43,0.06387985
2,37,0.06896901
2,39,0.07413685
2,40,0.07413685
4,29,0.08263588
4,33,0.084080935
4,31,0.084130764
4,36,0.084130764
5,60,0.026135087
5,61,0.025574267
5,29,0.023980975
5,6,0.024398327
6,64,0.009572148
6,7,0.0070443153
6,29,0.0080730915
6,61,0.008586347
7,60,0.0053960085
7,36,0.0053960085
7,61,0.0039321184
7,31,0.0053960085
29,61,0.0007479191
29,31,0.00080543756
29,36,0.00080543756
29,60,0.00080543756
30,62,0.023052454
30,38,0.01986283
30,59,0.020593047
30,34,0.0210343
31,36,0.0
31,60,0.0
31,29,0.00080543756
31,61,0.0009212494
32,56,0.04130757
32,47,0.062197447
32,58,0.006643176
32,52,0.029967904
33,61,0.015167773
33,6,0.014823914
33,29,0.013294816
33,68,0.01221931
34,59,0.00035393238
34,38,0.01658845
34,63,0.018006027
34,62,0.018331528
35,54,0.049906373
35,62,0.052549362
35,44,0.047707677
35,38,0.04943824
36,31,0.0
36,60,0.0
36,29,0.00080543756
36,61,0.0009212494
37,39,0.008762479
37,40,0.008762479
37,43,0.025687695
37,2,0.06896901
38,54,0.0051389337
38,59,0.015298009
38,44,0.003846407
38,62,0.002563417
39,40,-1.1920929e-07
39,37,0.008762479
39,43,0.031033814
39,2,0.07413685
40,39,-1.1920929e-07
40,37,0.008762479
40,43,0.031033814
40,2,0.07413685
43,2,0.06387985
43,37,0.025687695
43,39,0.031033814
43,40,0.031033814
44,62,0.007196665
44,63,0.020150542
44,54,0.0036542416
44,38,0.003846407
45,37,0.15660238
45,40,0.15823996
45,43,0.1302045
45,2,0.14328462
46,31,0.12356579
46,36,0.12356579
46,60,0.12356579
46,29,0.12424189
47,52,0.042725265
47,58,0.061719894
47,32,0.062197447
47,56,0.07012558
48,35,0.20583498
48,50,0.14318472
48,55,0.098486304
48,53,0.10841358
49,35,0.38078982
49,51,0.059070587
49,55,0.30975306
49,48,0.37673253
50,63,0.22375882
50,53,0.1614989
50,55,0.16022623
50,48,0.14318472
51,49,0.059070587
51,55,0.30377245
51,59,0.336699
51,34,0.33995706
52,47,0.042725265
52,56,0.05945182
52,58,0.018630981
52,32,0.029967904
53,48,0.10841358
53,35,0.13405877
53,55,0.1443901
53,38,0.15080702
54,59,0.021153212
54,44,0.0036542416
54,62,0.0044156313
54,38,0.0051389337
55,63,0.2632323
55,50,0.16022623
55,48,0.098486304
55,53,0.1443901
56,32,0.04130757
56,58,0.045188367
56,52,0.05945182
56,47,0.07012558
57,36,0.008466959
57,60,0.008466959
57,64,0.0057621
57,29,0.0081346035
58,52,0.018630981
58,56,0.045188367
58,47,0.061719894
58,32,0.006643176
59,63,0.01771009
59,34,0.00035393238
59,38,0.015298009
59,62,0.016566098
60,61,0.0009212494
60,29,0.00080543756
60,31,0.0
60,36,0.0
61,29,0.0007479191
61,31,0.0009212494
61,36,0.0009212494
61,60,0.0009212494
62,38,0.002563417
62,54,0.0044156313
62,44,0.007196665
62,59,0.016566098
63,62,0.018467665
63,34,0.018006027
63,38,0.016511679
63,59,0.01771009
64,61,0.0055868626
64,57,0.0057621
64,29,0.006534755
64,60,0.007905364
68,29,0.020002365
68,33,0.01221931
68,6,0.017243207
68,61,0.022855341
